bID,CURRENT_ENERGY_EFFICIENCY,hotwater_roof_windows-Cost,hotwater_roof_windows-Eff,hotwater_roof_windows-Diff,hotwater_roof_windows-Score,windows-Cost,windows-Eff,windows-Diff,windows-Score,envelopes-Cost,envelopes-Eff,envelopes-Diff,envelopes-Score,hotwater_windows-Cost,hotwater_windows-Eff,hotwater_windows-Diff,hotwater_windows-Score,envelopes_windows-Cost,envelopes_windows-Eff,envelopes_windows-Diff,envelopes_windows-Score,envelopes_roof_windows-Cost,envelopes_roof_windows-Eff,envelopes_roof_windows-Diff,envelopes_roof_windows-Score,envelopes_hotwater_roof-Cost,envelopes_hotwater_roof-Eff,envelopes_hotwater_roof-Diff,envelopes_hotwater_roof-Score,roof-Cost,roof-Eff,roof-Diff,roof-Score,envelopes_roof-Cost,envelopes_roof-Eff,envelopes_roof-Diff,envelopes_roof-Score,hotwater-Cost,hotwater-Eff,hotwater-Diff,hotwater-Score,hotwater_roof-Cost,hotwater_roof-Eff,hotwater_roof-Diff,hotwater_roof-Score,envelopes_hotwater-Cost,envelopes_hotwater-Eff,envelopes_hotwater-Diff,envelopes_hotwater-Score,envelopes_hotwater_windows-Cost,envelopes_hotwater_windows-Eff,envelopes_hotwater_windows-Diff,envelopes_hotwater_windows-Score,envelopes_hotwater_roof_windows-Cost,envelopes_hotwater_roof_windows-Eff,envelopes_hotwater_roof_windows-Diff,envelopes_hotwater_roof_windows-Score,roof_windows-Cost,roof_windows-Eff,roof_windows-Diff,roof_windows-Score,as_built-Cost,as_built-Eff,as_built-Diff,as_built-Score
5865,56,10524,60,4,2631,-1,-1,-1,-1,2100,61,5,420,6024,58,2,3012,5324,61,5,1064,9824,64,8,1228,9400,67,11,854,4500,57,1,4500,6600,64,8,825,2800,58,2,1400,7300,60,4,1825,4900,64,8,612,8124,64,8,1015,12624,67,11,1147,7724,57,1,7724,0,0,0,0
11628,64,9966,73,9,1107,-1,-1,-1,-1,2700,65,1,2700,6816,67,3,2272,6716,65,1,6716,9866,70,6,1644,8650,72,8,1081,3150,69,5,630,5850,69,5,1170,2800,67,3,933,5950,72,8,743,5500,67,3,1833,9516,68,4,2379,12666,73,9,1407,7166,70,6,1194,0,0,0,0
1240,61,18856,68,7,2693,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17556,65,4,4389,12775,65,4,3193,8475,64,3,2825,9975,64,3,3325,-1,-1,-1,-1,11275,66,5,2255,-1,-1,-1,-1,-1,-1,-1,-1,20356,67,6,3392,16056,66,5,3211,0,0,0,0
42232,58,9053,61,3,3017,-1,-1,-1,-1,1500,59,1,1500,6420,60,2,3210,5120,59,1,5120,7753,64,6,1292,6932,66,8,866,-1,-1,-1,-1,4132,64,6,688,2800,60,2,1400,5432,61,3,1810,4300,61,3,1433,7920,61,3,2640,10553,66,8,1319,-1,-1,-1,-1,0,0,0,0
18324,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18908,70,2,9454,-1,-1,-1,-1,12000,69,1,12000,14100,70,2,7050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16808,69,1,16808,0,0,0,0
41065,67,9420,72,5,1884,-1,-1,-1,-1,-1,-1,-1,-1,6420,68,1,6420,-1,-1,-1,-1,9320,70,3,3106,8500,72,5,1700,3000,69,2,1500,5700,70,3,1900,2800,68,1,2800,5800,72,5,1160,-1,-1,-1,-1,-1,-1,-1,-1,12120,72,5,2424,6620,69,2,3310,0,0,0,0
39869,65,12371,68,3,4123,-1,-1,-1,-1,1500,73,8,187,7608,68,3,2536,6308,73,8,788,11071,75,10,1107,9062,78,13,697,4762,66,1,4762,6262,75,10,626,2800,68,3,933,7562,69,4,1890,4300,77,12,358,9108,76,11,828,13871,77,12,1155,9571,66,1,9571,0,0,0,0
17905,54,21172,61,7,3024,5997,59,5,1199,2100,65,11,190,8797,61,7,1256,8097,67,13,622,20472,71,17,1204,17275,72,18,959,12375,58,4,3093,14475,69,15,965,2800,61,7,400,15175,61,7,2167,4900,68,14,350,10897,69,15,726,23272,73,19,1224,18372,59,5,3674,0,0,0,0
667,66,9495,68,2,4747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9395,68,2,4697,8575,70,4,2143,-1,-1,-1,-1,5775,67,1,5775,-1,-1,-1,-1,5875,68,2,2937,5500,67,1,5500,9120,67,1,9120,12195,70,4,3048,-1,-1,-1,-1,0,0,0,0
20287,54,9420,61,7,1345,-1,-1,-1,-1,2700,59,5,540,6420,60,6,1070,6320,61,7,902,9320,64,10,932,8500,71,17,500,-1,-1,-1,-1,5700,62,8,712,2800,61,7,400,5800,62,8,725,5500,68,14,392,9120,69,15,608,12120,72,18,673,-1,-1,-1,-1,0,0,0,0
42995,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6420,67,2,3210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,67,2,1400,-1,-1,-1,-1,5500,67,2,2750,9120,67,2,4560,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
12873,47,9308,49,2,4654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8008,53,6,1334,7187,56,9,798,-1,-1,-1,-1,4387,53,6,731,-1,-1,-1,-1,5687,49,2,2843,4300,50,3,1433,7920,50,3,2640,10808,56,9,1200,-1,-1,-1,-1,0,0,0,0
13931,67,10379,68,1,10379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9079,69,2,4539,7862,72,5,1572,-1,-1,-1,-1,5062,69,2,2531,-1,-1,-1,-1,6362,68,1,6362,4300,68,1,4300,8316,68,1,8316,11879,72,5,2375,-1,-1,-1,-1,0,0,0,0
5423,66,9924,71,5,1984,-1,-1,-1,-1,-1,-1,-1,-1,6024,67,1,6024,-1,-1,-1,-1,8624,69,3,2874,8200,72,6,1366,3900,69,3,1300,5400,69,3,1800,2800,67,1,2800,6700,71,5,1340,4300,68,2,2150,7524,68,2,3762,11424,72,6,1904,7124,69,3,2374,0,0,0,0
5377,67,8493,72,5,1698,3224,68,1,3224,2700,68,1,2700,6024,71,4,1506,5924,69,2,2962,8393,70,3,2797,7969,71,4,1992,2469,69,2,1234,5169,69,2,2584,2800,70,3,933,5269,71,4,1317,5500,70,3,1833,8724,70,3,2908,11193,72,5,2238,5693,70,3,1897,0,0,0,0
16271,59,10074,68,9,1119,3224,62,3,1074,4600,65,6,766,6024,64,5,1204,7824,66,7,1117,11874,69,10,1187,11450,71,12,954,4050,65,6,675,8650,68,9,961,2800,64,5,560,6850,68,9,761,7400,68,9,822,10624,68,9,1180,14674,72,13,1128,7274,66,7,1039,0,0,0,0
40701,63,9699,71,8,1212,3224,65,2,1612,4600,65,2,2300,6024,68,5,1204,7824,65,2,3912,11499,68,5,2299,11075,71,8,1384,3675,68,5,735,8275,68,5,1655,2800,68,5,560,6475,71,8,809,7400,68,5,1480,10624,68,5,2124,14299,71,8,1787,6899,68,5,1379,0,0,0,0
21832,46,12371,68,22,562,4808,48,2,2404,2700,47,1,2700,7608,62,16,475,7508,48,2,3754,12271,58,12,1022,10262,67,21,488,4762,56,10,476,7462,57,11,678,2800,61,15,186,7562,67,21,360,5500,62,16,343,10308,63,17,606,15071,69,23,655,9571,57,11,870,0,0,0,0
31618,73,8041,79,6,1340,-1,-1,-1,-1,-1,-1,-1,-1,5232,77,4,1308,-1,-1,-1,-1,7941,75,2,3970,8309,79,6,1384,2809,75,2,1404,5509,75,2,2754,2800,77,4,700,5609,79,6,934,5500,76,3,1833,7932,76,3,2644,10741,79,6,1790,5241,75,2,2620,0,0,0,0
17042,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4836,84,1,4836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,84,1,2800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
22191,67,9495,68,1,9495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8195,68,1,8195,7375,71,4,1843,-1,-1,-1,-1,4575,68,1,4575,2800,68,1,2800,5875,69,2,2937,4300,68,1,4300,-1,-1,-1,-1,10995,70,3,3665,-1,-1,-1,-1,0,0,0,0
24809,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4836,80,2,2418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,79,1,2800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
31448,61,7601,64,3,2533,-1,-1,-1,-1,-1,-1,-1,-1,3251,63,2,1625,-1,-1,-1,-1,6301,64,3,2100,8650,67,6,1441,-1,-1,-1,-1,5850,64,3,1950,2800,63,2,1400,7150,64,3,2383,4300,64,3,1433,4751,65,4,1187,9101,67,6,1516,-1,-1,-1,-1,0,0,0,0
36890,62,10041,64,2,5020,-1,-1,-1,-1,2700,69,7,385,-1,-1,-1,-1,6716,70,8,839,9941,72,10,994,8725,74,12,727,-1,-1,-1,-1,5925,72,10,592,-1,-1,-1,-1,6025,64,2,3012,5500,71,9,611,9516,72,10,951,12741,75,13,980,-1,-1,-1,-1,0,0,0,0
22497,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5232,74,2,2616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,73,1,2800,-1,-1,-1,-1,4300,73,1,4300,6732,74,2,3366,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2708,74,9570,77,3,3190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8270,76,2,4135,7450,77,3,2483,3150,75,1,3150,4650,76,2,2325,2800,75,1,2800,5950,77,3,1983,4300,75,1,4300,-1,-1,-1,-1,11070,77,3,3690,6770,75,1,6770,0,0,0,0
12914,70,-1,-1,-1,-1,2036,72,2,1018,1500,71,1,1500,-1,-1,-1,-1,3536,72,2,1768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
16134,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
27747,44,15755,67,23,685,6393,52,8,799,4600,52,8,575,9193,59,15,612,10993,53,9,1221,17555,61,17,1032,13962,66,22,634,6562,58,14,468,11162,59,15,744,2800,58,14,200,9362,66,22,425,7400,59,15,493,13793,60,16,862,20355,67,23,885,12955,59,15,863,0,0,0,0
7212,60,-1,-1,-1,-1,-1,-1,-1,-1,2700,62,2,1350,7212,61,1,7212,7112,62,2,3556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,61,1,2800,-1,-1,-1,-1,5500,64,4,1375,9912,64,4,2478,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
6295,66,-1,-1,-1,-1,4808,67,1,4808,2100,68,2,1050,7608,70,4,1902,6908,68,2,3454,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,70,4,700,-1,-1,-1,-1,4900,71,5,980,9708,71,5,1941,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
36289,44,10812,75,31,348,4412,55,11,401,1500,55,11,136,7212,72,28,257,5912,56,12,492,9512,57,13,731,7900,73,29,272,3600,55,11,327,5100,55,11,463,2800,70,26,107,6400,73,29,220,4300,70,26,165,8712,72,28,311,12312,75,31,397,8012,56,12,667,0,0,0,0
25516,66,-1,-1,-1,-1,3620,68,2,1810,1500,68,2,750,6420,70,4,1605,5120,68,2,2560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,70,4,700,-1,-1,-1,-1,4300,70,4,1075,7920,70,4,1980,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
44047,52,10154,56,4,2538,-1,-1,-1,-1,2700,58,6,450,6816,54,2,3408,6716,59,7,959,10054,64,12,837,8837,65,13,679,3337,54,2,1668,6037,63,11,548,2800,54,2,1400,6137,56,4,1534,5500,60,8,687,9516,61,9,1057,12854,66,14,918,7354,55,3,2451,0,0,0,0
31559,54,11112,56,2,5556,-1,-1,-1,-1,1500,59,5,300,-1,-1,-1,-1,5912,59,5,1182,9812,64,10,981,8200,66,12,683,-1,-1,-1,-1,5400,64,10,540,-1,-1,-1,-1,6700,55,1,6700,4300,62,8,537,8712,61,7,1244,12612,66,12,1051,-1,-1,-1,-1,0,0,0,0
39746,53,6176,58,5,1235,-1,-1,-1,-1,2700,59,6,450,3251,56,3,1083,3151,59,6,525,6076,62,9,675,8425,66,13,648,2925,55,2,1462,5625,62,9,625,2800,56,3,933,5725,58,5,1145,5500,62,9,611,5951,62,9,661,8876,66,13,682,3376,55,2,1688,0,0,0,0
34957,65,11225,69,4,2806,-1,-1,-1,-1,1500,70,5,300,7212,66,1,7212,5912,71,6,985,9925,73,8,1240,8312,75,10,831,4012,67,2,2006,5512,73,8,689,2800,67,2,1400,6812,69,4,1703,4300,73,8,537,8712,72,7,1244,12725,75,10,1272,8425,67,2,4212,0,0,0,0
26754,67,6439,71,4,1609,-1,-1,-1,-1,-1,-1,-1,-1,3251,68,1,3251,-1,-1,-1,-1,5139,68,1,5139,7487,71,4,1871,3187,68,1,3187,4687,68,1,4687,2800,68,1,2800,5987,71,4,1496,4300,68,1,4300,4751,68,1,4751,7939,71,4,1984,3639,68,1,3639,0,0,0,0
32223,75,15076,77,2,7538,-1,-1,-1,-1,-1,-1,-1,-1,8401,76,1,8401,-1,-1,-1,-1,-1,-1,-1,-1,14075,77,2,7037,-1,-1,-1,-1,-1,-1,-1,-1,2800,76,1,2800,9475,77,2,4737,7400,76,1,7400,13001,76,1,13001,19676,77,2,9838,-1,-1,-1,-1,0,0,0,0
4921,55,-1,-1,-1,-1,1640,57,2,820,1500,60,5,300,-1,-1,-1,-1,3140,60,5,628,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
26543,54,17973,64,10,1797,-1,-1,-1,-1,-1,-1,-1,-1,9985,56,2,4992,-1,-1,-1,-1,16673,62,8,2084,12287,63,9,1365,7987,61,7,1141,9487,61,7,1355,2800,55,1,2800,10787,63,9,1198,4300,55,1,4300,11485,56,2,5742,19473,64,10,1947,15173,62,8,1896,0,0,0,0
40537,65,-1,-1,-1,-1,3224,67,2,1612,1500,67,2,750,6024,70,5,1204,4724,67,2,2362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,70,5,560,-1,-1,-1,-1,4300,70,5,860,7524,70,5,1504,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
14884,65,9420,71,6,1570,-1,-1,-1,-1,-1,-1,-1,-1,6420,68,3,2140,-1,-1,-1,-1,-1,-1,-1,-1,8500,72,7,1214,-1,-1,-1,-1,-1,-1,-1,-1,2800,68,3,933,5800,71,6,966,5500,69,4,1375,9120,69,4,2280,12120,72,7,1731,-1,-1,-1,-1,0,0,0,0
35670,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6024,70,1,6024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,70,1,2800,-1,-1,-1,-1,4300,70,1,4300,7524,70,1,7524,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
33023,71,-1,-1,-1,-1,3224,72,1,3224,1500,72,1,1500,6024,75,4,1506,4724,72,1,4724,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2800,75,4,700,-1,-1,-1,-1,4300,75,4,1075,7524,75,4,1881,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
31741,69,7466,70,1,7466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6166,70,1,6166,6137,73,4,1534,-1,-1,-1,-1,3337,70,1,3337,-1,-1,-1,-1,-1,-1,-1,-1,4300,71,2,2150,7128,72,3,2376,8966,73,4,2241,-1,-1,-1,-1,0,0,0,0
36029,53,10416,61,8,1302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10316,60,7,1473,9100,62,9,1011,3600,59,6,600,6300,60,7,900,-1,-1,-1,-1,6400,61,8,800,-1,-1,-1,-1,-1,-1,-1,-1,13116,62,9,1457,7616,59,6,1269,0,0,0,0
